time,x,y
6.001200240048009782e+00,9.175943347429608821e+00,2.921988070750410671e+00
6.017203440688137839e+00,9.358361107812019242e+00,2.727129907931329367e+00
6.033206641328265896e+00,9.517854342504890042e+00,2.811130685639290583e+00
6.049209841968393953e+00,9.605099932042181266e+00,2.803975461109769807e+00
6.065213042608522009e+00,9.736309952986117011e+00,2.669997816709294369e+00
6.081216243248650066e+00,9.842750796290630433e+00,2.636560477002226399e+00
6.097219443888778123e+00,1.004557101667242058e+01,2.514796672079810058e+00
6.113222644528906180e+00,1.030433026248550377e+01,2.486066797994098021e+00
6.129225845169034237e+00,1.036391711881788957e+01,2.461705895219401086e+00
6.145229045809161406e+00,1.049425258389235793e+01,2.474623304579478766e+00
6.161232246449289462e+00,1.074096463501600240e+01,2.448445751949209104e+00
6.177235447089417519e+00,1.076133235547630207e+01,2.469961189241047350e+00
6.193238647729545576e+00,1.104032525451688329e+01,2.353774554469110658e+00
